City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Adrar,MR,2021-09-27 01:19:49,20.5022,-10.0711,91.76,12,0,9.4,clear sky
115,Mattru,SL,2021-09-27 01:19:49,7.6244,-11.8332,73.36,98,100,2.01,light rain
116,Leningradskiy,RU,2021-09-27 01:19:50,69.3833,178.4167,29.14,77,100,7.11,overcast clouds
117,Linfen,CN,2021-09-27 01:19:50,36.0889,111.5189,64.6,87,100,2.15,overcast clouds
118,Narsaq,GL,2021-09-27 01:19:51,60.9167,-46.05,32.22,51,0,6.13,clear sky
119,Sorland,NO,2021-09-27 01:19:51,67.667,12.6934,53.46,86,99,14.52,overcast clouds
120,Coromandel,BR,2021-09-27 01:19:51,-18.4733,-47.2003,67.05,71,56,8.23,broken clouds
121,La Maddalena,IT,2021-09-27 01:19:52,41.2142,9.4083,75.36,92,100,15.39,overcast clouds
122,Humboldt,US,2021-09-27 01:19:52,40.6665,-123.9178,59.59,54,9,4.29,clear sky
123,Avarua,CK,2021-09-27 01:19:53,-21.2078,-159.775,78.85,69,40,4.61,scattered clouds
124,Walvis Bay,NA,2021-09-27 01:19:53,-22.9575,14.5053,56.08,100,96,4.61,overcast clouds
125,Shenjiamen,CN,2021-09-27 01:19:53,29.9576,122.298,78.42,82,26,8.57,scattered clouds
126,Souillac,MU,2021-09-27 01:19:54,-20.5167,57.5167,68.38,94,75,18.41,light intensity shower rain
127,Kudat,MY,2021-09-27 01:19:54,6.8837,116.8477,84.13,84,20,3.44,few clouds
128,Bethel,US,2021-09-27 01:19:54,41.3712,-73.414,63.81,81,1,0.0,clear sky
129,Hazorasp,UZ,2021-09-27 01:19:55,41.3194,61.0742,51.64,57,0,9.19,clear sky
130,Ust-Nera,RU,2021-09-27 01:19:55,64.5667,143.2,36.81,68,30,4.43,scattered clouds
131,Itaituba,BR,2021-09-27 01:19:56,-4.2761,-55.9836,79.41,69,90,1.92,light rain
132,Bredasdorp,ZA,2021-09-27 01:18:30,-34.5322,20.0403,58.32,88,39,4.61,scattered clouds
133,Yarmolyntsi,UA,2021-09-27 01:19:56,49.1924,26.8373,47.46,81,99,4.72,overcast clouds
134,Tura,IN,2021-09-27 01:18:33,25.5198,90.2201,78.37,83,7,2.68,clear sky
135,Karratha,AU,2021-09-27 01:19:57,-20.7377,116.8463,75.45,34,0,11.34,clear sky
136,Avera,US,2021-09-27 01:19:57,33.194,-82.5271,68.72,55,0,1.97,clear sky
137,Leh,IN,2021-09-27 01:19:58,34.1667,77.5833,51.93,32,0,2.75,clear sky
138,Vestmannaeyjar,IS,2021-09-27 01:19:58,63.4427,-20.2734,43.52,75,100,11.54,overcast clouds
139,Cabedelo,BR,2021-09-27 01:19:58,-6.9811,-34.8339,75.87,84,37,17.72,scattered clouds
140,Dombas,NO,2021-09-27 01:19:59,62.0696,9.1235,44.38,99,100,8.59,overcast clouds
141,Corpus Christi,US,2021-09-27 01:19:33,27.8006,-97.3964,80.6,74,20,5.01,few clouds
142,Vila Franca Do Campo,PT,2021-09-27 01:19:59,37.7167,-25.4333,70.2,92,100,7.27,overcast clouds
143,Arrifes,PT,2021-09-27 01:20:00,37.7667,-25.7,68.23,94,75,8.05,broken clouds
144,Severo-Kurilsk,RU,2021-09-27 01:20:00,50.6789,156.125,52.45,82,66,12.33,broken clouds
145,Batagay,RU,2021-09-27 01:20:00,67.6333,134.6333,36.3,74,96,6.44,overcast clouds
146,Ribeira Grande,PT,2021-09-27 01:20:01,38.5167,-28.7,68.2,73,78,23.11,broken clouds
147,Bereda,ES,2021-09-27 01:20:02,43.2686,-7.5406,63.41,86,100,9.44,overcast clouds
148,San Policarpo,PH,2021-09-27 01:20:02,12.1791,125.5072,84.13,69,100,3.76,overcast clouds
149,Asandh,IN,2021-09-27 01:20:03,29.5167,76.6,75.54,82,0,4.63,clear sky
150,Akureyri,IS,2021-09-27 01:20:03,65.6835,-18.0878,33.73,93,90,19.57,moderate rain
151,San Patricio,US,2021-09-27 01:20:04,28.017,-97.5169,80.46,61,100,11.12,overcast clouds
152,Victoria,HK,2021-09-27 01:20:04,22.2855,114.1577,87.96,77,39,4.0,scattered clouds
153,Surgut,RU,2021-09-27 01:20:04,61.25,73.4167,30.38,93,0,4.47,clear sky
154,Muros,ES,2021-09-27 01:20:05,42.7762,-9.0603,68.23,83,100,18.61,overcast clouds
155,Alihe,CN,2021-09-27 01:20:05,50.5667,123.7167,53.02,71,0,10.58,clear sky
156,Killybegs,IE,2021-09-27 01:20:06,54.6333,-8.45,49.44,83,100,6.98,overcast clouds
157,Kissidougou,GN,2021-09-27 01:20:06,9.1848,-10.0999,69.49,96,97,2.3,overcast clouds
158,Mahajanga,MG,2021-09-27 01:20:06,-15.7167,46.3167,68.02,64,20,3.44,few clouds
159,Tasiilaq,GL,2021-09-27 01:20:07,65.6145,-37.6368,32.16,68,15,5.28,few clouds
160,Guangzhou,CN,2021-09-27 01:20:07,23.1167,113.25,85.95,60,0,3.85,clear sky
161,Hasaki,JP,2021-09-27 01:20:07,35.7333,140.8333,75.29,62,54,17.65,broken clouds
162,Barrow,US,2021-09-27 01:20:08,71.2906,-156.7887,21.22,86,1,11.5,clear sky
163,Buraydah,SA,2021-09-27 01:18:04,26.326,43.975,73.85,33,93,6.38,overcast clouds
164,Port Hardy,CA,2021-09-27 01:18:40,50.6996,-127.4199,57.2,82,90,21.85,light rain
165,Saint-Philippe,RE,2021-09-27 01:20:09,-21.3585,55.7679,68.22,87,91,16.73,light rain
166,Manggar,ID,2021-09-27 01:20:09,-2.8833,108.2667,84.15,69,82,7.67,broken clouds
167,Puerto Escondido,MX,2021-09-27 01:20:10,15.85,-97.0667,81.84,78,100,0.72,overcast clouds
168,Nanortalik,GL,2021-09-27 01:20:10,60.1432,-45.2371,37.08,80,7,1.92,clear sky
169,Lumberton,US,2021-09-27 01:20:11,34.6182,-79.0086,70.21,51,0,4.54,clear sky
170,Awbari,LY,2021-09-27 01:20:11,26.5921,12.7805,72.9,21,0,5.82,clear sky
171,Sitka,US,2021-09-27 01:20:12,57.0531,-135.33,55.29,54,90,12.66,overcast clouds
172,Kushmurun,KZ,2021-09-27 01:15:24,52.4503,64.6311,46.2,35,100,22.75,overcast clouds
173,Padang,ID,2021-09-27 01:20:12,-0.9492,100.3543,78.26,88,100,3.67,overcast clouds
174,Dikson,RU,2021-09-27 01:20:13,73.5069,80.5464,35.6,86,100,23.26,overcast clouds
175,Oistins,BB,2021-09-27 01:20:13,13.0667,-59.5333,82.49,78,20,10.36,few clouds
176,Bagotville,AU,2021-09-27 01:20:14,-28.9833,153.4167,63.64,56,95,9.17,overcast clouds
177,Florianopolis,BR,2021-09-27 01:20:14,-27.6146,-48.5012,70.43,91,0,3.44,clear sky
178,College,US,2021-09-27 01:20:14,64.8569,-147.8028,35.55,74,75,3.44,broken clouds
179,Torbay,CA,2021-09-27 01:18:30,47.6666,-52.7314,54.75,92,40,14.97,scattered clouds
180,Camacha,PT,2021-09-27 01:20:15,33.0833,-16.3333,66.96,77,7,3.44,clear sky
181,Molepolole,BW,2021-09-27 01:20:15,-24.4066,25.4951,67.21,33,77,7.4,broken clouds
182,Malaya Serdoba,RU,2021-09-27 01:20:16,52.4661,44.9512,48.54,95,100,13.98,overcast clouds
183,Kempsey,AU,2021-09-27 01:20:16,-31.0833,152.8333,64.94,68,96,7.0,overcast clouds
184,Kayes,ML,2021-09-27 01:20:16,14.0,-11.0,79.3,80,100,1.12,overcast clouds
185,Nikolskoye,RU,2021-09-27 01:18:37,59.7035,30.7861,48.09,98,39,4.34,scattered clouds
186,Yulara,AU,2021-09-27 01:20:17,-25.2406,130.9889,84.04,10,100,14.97,overcast clouds
187,Catia La Mar,VE,2021-09-27 01:20:17,10.6038,-67.0303,84.4,84,32,9.22,scattered clouds
188,Gadwal,IN,2021-09-27 01:20:18,16.2333,77.8,73.71,92,66,9.64,moderate rain
189,Suhut,TR,2021-09-27 01:20:18,38.5311,30.5458,55.94,57,5,3.91,clear sky
190,Kieta,PG,2021-09-27 01:20:18,-6.2167,155.6333,85.69,65,64,4.12,light rain
191,San Quintin,MX,2021-09-27 01:20:19,30.4833,-115.95,68.49,75,33,12.41,scattered clouds
192,Abu Zabad,SD,2021-09-27 01:20:19,12.35,29.25,75.45,75,12,2.66,few clouds
