City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
198,Great Falls,US,81.05,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
202,Soller,ES,71.04,broken clouds,39.7662,2.7152,Hotel Marina & Wellness Spa
203,Ishigaki,JP,86.13,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
205,Jacareacanga,BR,73.15,broken clouds,-6.2222,-57.7528,Casa do Ian😎
210,Mastic Beach,US,70.95,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
211,Yashan,CN,82.15,clear sky,22.1975,109.9419,
223,Akropong,GH,74.35,light rain,5.9746,-0.0854,Vip Lodge
225,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
226,Comonfort,MX,71.13,overcast clouds,20.7167,-100.7667,El Kiosco Verde
228,Labuhan,ID,80.82,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
230,Chabahar,IR,80.83,broken clouds,25.2919,60.643,هتل گدروشیا
232,Gogrial,SS,71.22,overcast clouds,8.5332,28.1004,
236,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
237,Diamantino,BR,77.14,overcast clouds,-14.4086,-56.4461,Hotel Delta
238,Santa Ines,BR,80.55,broken clouds,-3.6667,-45.38,Palace hotel
242,Don Sak,TH,81.14,overcast clouds,9.3168,99.6918,Sea Sun Moon Hostel
243,Segou,ML,77.23,broken clouds,13.4317,-6.2157,Comme chez soi
244,Vaitape,PF,79.97,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
245,Fayaoue,NC,72.52,few clouds,-20.65,166.5333,Chez Dydyce Guesthouse
247,Katsuura,JP,73.44,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
250,Badnawar,IN,72.27,overcast clouds,23.0167,75.2167,Hotel Mrityunjay
252,Seminole,US,79.99,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
253,Tancheng,CN,87.76,light rain,27.4375,115.4976,
255,Darnah,LY,74.57,clear sky,32.767,22.6367,فندق الفردوس
256,Moranbah,AU,81.99,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
258,Pecos,US,86.09,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
259,Bambanglipuro,ID,80.74,broken clouds,-7.95,110.2833,Puri Brata
260,Naze,JP,83.32,few clouds,28.3667,129.4833,オーベルジュ・アガルイ
262,Jibuti,DJ,87.22,few clouds,11.5,42.5,Orchid Main Camp Goubet
263,Nagapattinam,IN,81.1,overcast clouds,10.7667,79.8333,Sathya Lodge
264,Mount Pleasant,US,72.99,broken clouds,32.7941,-79.8626,Best Western Patriots Point
267,Unai,BR,80.87,scattered clouds,-16.3575,-46.9061,Hotel Regente
273,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
278,Karaton,ID,83.95,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
279,Koumac,NC,75.51,few clouds,-20.5667,164.2833,Le Monitel
280,Bonthe,SL,76.87,light rain,7.5264,-12.505,Bonthe Holiday Village
283,Lanxi,CN,80.4,few clouds,29.2195,119.477,Shangri-La Hotel
288,Sambava,MG,70.9,light rain,-14.2667,50.1667,Melrose
289,Trairi,BR,79.07,broken clouds,-3.2778,-39.2689,janelas do mar
290,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
292,Kutum,SD,71.17,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
293,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
294,Inhambane,MZ,70.9,clear sky,-23.865,35.3833,Oceano
297,Portland,US,74.62,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
298,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
302,Banyuwangi,ID,80.04,scattered clouds,-8.2325,114.3576,Dannu's Homestay
305,Waxahachie,US,84.04,clear sky,32.3865,-96.8483,Hampton Inn & Suites Waxahachie
306,Puerto Narino,CO,76.95,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
308,Qandala,SO,86.04,clear sky,11.472,49.8728,
312,Sola,VU,79.0,scattered clouds,-13.8833,167.55,Leumerus Bungalows
313,Springdale,US,78.91,clear sky,36.1867,-94.1288,Springdale Inn
315,Pio Ix,BR,80.62,broken clouds,-6.8375,-40.5792,Hotel Central
316,Kon Tum,VN,73.62,clear sky,14.35,108.0,Hoa đà spa- homestay
317,Tuy Hoa,VN,81.46,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
319,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
320,Ambunti,PG,89.22,overcast clouds,-4.2365,142.8448,Ambunti Lodge
322,Boali,CF,71.47,light rain,4.8005,18.1275,Auberge des Cocotiers Boali poste
323,Port Pirie,AU,75.29,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
325,Driyorejo,ID,89.46,few clouds,-7.3659,112.6219,Pondok Pesantren Darul Falah 25
327,Garowe,SO,78.08,clear sky,8.4054,48.4845,Curubo Hotel
328,Poum,NC,72.82,clear sky,-20.2333,164.0167,Gîte kajeon
330,Sokolo,ML,86.09,overcast clouds,14.7328,-6.1219,
333,Takoradi,GH,74.19,light rain,4.8845,-1.7554,Raybow International Hotel
335,Mumford,GH,74.8,light rain,5.2618,-0.759,Spanish Villa
337,Aswan,EG,78.94,clear sky,24.0934,32.907,Nuba Nile
340,Vanimo,PG,85.64,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
341,Tukrah,LY,73.17,clear sky,32.5341,20.5791,Lagrota restaurant
343,Maraba,BR,80.67,broken clouds,-5.3686,-49.1178,Hotel Del Principe
344,Mitsamiouli,KM,74.91,clear sky,-11.3847,43.2844,Foyer ADM
347,San Pedro,PH,84.09,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
348,Port-Gentil,GA,77.61,overcast clouds,-0.7193,8.7815,Fengshui Residence
353,Mundra,IN,81.37,overcast clouds,22.85,69.7333,Hotel Bansidhar Palace
358,Rapid Valley,US,80.8,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
360,Bousso,TD,73.58,overcast clouds,10.4795,16.7117,
362,Kudahuvadhoo,MV,81.19,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
364,Banda Aceh,ID,81.52,overcast clouds,5.5577,95.3222,Sulthan Hotel International
366,Esmeraldas,BR,75.51,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
370,Altamira,BR,77.81,overcast clouds,-3.2033,-52.2064,Requinte Hotel
371,Urucara,BR,77.23,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
373,Marawi,PH,74.64,broken clouds,7.9986,124.2928,Derogongan Residence
375,Dera Bugti,PK,84.79,clear sky,29.0307,69.151,Nawab Bugti House
376,Moerai,PF,76.37,broken clouds,-22.4333,-151.3333,Le Manotel
377,Ruteng,ID,71.58,few clouds,-8.6136,120.4721,Hotel FX72 Ruteng
378,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
379,Kavaratti,IN,81.25,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
